ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2026-09-02T08:29:16.692-0400,,file,1,3,32,,,137438953472,1048576,1,0,,8,1,0,WRITE,1832,129475,,,11882,1012,11882,1012,8,12,,,21770,131072,,,,1629,269697,1684423,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153" "/mnt/fg_test/testdir/prefill" "--write" "--block" "1m" "--size" "128g" "--files" "32" "--threads" "32" "--iodepth" "8" "--direct" "--nolive" "--csvfile" "results_00_prefill.csv" 
2026-09-02T08:47:13.117-0400,,file,1,3,32,,,137438953472,1048576,1,0,,8,1,0,WRITE,1418,60109,,,13305,1800,13305,1800,9,8,,,18875,108240,,,,1521,161451,1878004,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153" "/mnt/fg_test/testdir/prefill" "--dirs" "4" "--write" "--block" "1m" "--size" "128g" "--files" "32" "--threads" "32" "--iodepth" "8" "--direct" "--nolive" "--csvfile" "results_00_prefill.csv" 
2026-09-02T08:51:53.144-0400,,dir,1,3,32,1,32,274877906944,1048576,1,0,,8,1,0,MKDIRS,0,43,822784,2184,,,,,7,8,65,96,,,6,3968,13843,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153" "/mnt/fg_test/testdir/" "-d" "-w" "-b" "1M" "-s" "256g" "-N" "32" "-t" "32" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_00_prefill.csv" 
2026-09-02T08:56:32.049-0400,,dir,1,3,32,1,32,137438953472,1048576,1,0,,8,1,0,MKDIRS,0,39,1743589,2402,,,,,8,7,68,96,,,0,1603,4109,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153" "/mnt/fg_test/testdir/" "-d" "-w" "-b" "1M" "-s" "128g" "-N" "32" "-t" "32" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_00_prefill.csv" 
2026-09-02T09:03:23.222-0400,,dir,1,3,32,1,32,137438953472,1048576,1,0,,8,1,0,MKDIRS,4,47,9020,2039,,,,,8,1,42,96,,,1289,2636,13146,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153" "/mnt/fg_test/testdir/" "-d" "-w" "-b" "1M" "-s" "128g" "-N" "32" "-t" "32" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_00_prefill.csv" 
2026-09-02T09:11:58.951-0400,,dir,1,3,32,1,32,137438953472,1048576,1,0,,8,1,0,MKDIRS,3,41,14804,2290,,,,,10,1,51,96,,,940,2592,3961,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153" "/mnt/fg_test/testdir/" "-d" "-w" "-b" "1M" "-s" "128g" "-N" "32" "-t" "32" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_00_prefill.csv" 
2026-09-02T09:11:59.003-0400,,dir,1,3,32,1,32,137438953472,1048576,1,0,,8,1,0,WRITE,902031,902145,0,0,37749,37758,37749,37758,6,6,197,197,34051290,34063669,223357259,324872817,447732301,1488,20321,90256904,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153" "/mnt/fg_test/testdir/" "-d" "-w" "-b" "1M" "-s" "128g" "-N" "32" "-t" "32" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_00_prefill.csv" 
2026-09-02T09:27:59.470-0400,,dir,1,3,16,1,16,68719476736,1048576,1,0,,8,1,0,MKDIRS,11,48,1420,991,,,,,0,0,16,48,,,1734,5999,12047,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153" "/mnt/fg_test/testdir/" "-d" "-w" "-b" "1M" "-s" "64g" "-N" "16" "-t" "16" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_00_prefill.csv" 
2026-09-02T09:27:59.521-0400,,dir,1,3,16,1,16,68719476736,1048576,1,0,,8,1,0,WRITE,1439986,1556319,0,0,32540,32340,32540,32340,5,5,690,768,46858467,50331648,41636630,94966485,186898101,1423,11579,8985689,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153" "/mnt/fg_test/testdir/" "-d" "-w" "-b" "1M" "-s" "64g" "-N" "16" "-t" "16" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_00_prefill.csv" 
2026-09-02T09:56:17.388-0400,,dir,1,3,16,1,16,68719476736,1048576,1,0,,8,1,0,MKDIRS,2,9,23680,5224,,,,,7,4,48,48,,,508,1439,2219,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153" "/mnt/fg_test/testdir/" "-d" "-r" "-b" "1M" "-s" "64g" "-N" "16" "-t" "16" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_00_prefill.csv" 
