ISO date,label,path type,paths,hosts,threads,dirs,files,file size,block size,direct IO,random,random aligned,IO depth,shared paths,truncate,operation,time ms [first],time ms [last],entries/s [first],entries/s [last],IOPS [first],IOPS [last],MiB/s [first],MiB/s [last],CPU% [first],CPU% [last],entries [first],entries [last],MiB [first],MiB [last],Ent lat us [min],Ent lat us [avg],Ent lat us [max],IO lat us [min],IO lat us [avg],IO lat us [max],rwmix read entries/s [first],rwmix read entries/s [last],rwmix read IOPS [first],rwmix read IOPS [last],rwmix read MiB/s [first],rwmix read MiB/s [last],rwmix read entries [first],rwmix read entries [last],rwmix read MiB [first],rwmix read MiB [last],rwmix read Ent lat us [min],rwmix read Ent lat us [avg],rwmix read Ent lat us [max],rwmix read IO lat us [min],rwmix read IO lat us [avg],rwmix read IO lat us [max],version,command
2026-09-02T14:13:08.568-0400,,dir,1,4,16,1,16,68719476736,4096,1,1,1,8,1,0,MKDIRS,1,7,34575,8877,,,,,10,3,64,64,,,486,832,1625,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153 192.168.103.154" "/mnt/fg_test/testdir/" "-d" "-r" "--rand" "-b" "4k" "-s" "64g" "-N" "16" "-t" "16" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_03_max_io_read.csv" 
2026-09-02T14:13:08.599-0400,,dir,1,4,16,1,16,68719476736,4096,1,1,1,8,1,0,READ,7378528,7378532,0,0,1604845,1604922,6268,6269,14,14,678,678,46255445,46257696,562958433,668304238,707208192,46,318,61195,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153 192.168.103.154" "/mnt/fg_test/testdir/" "-d" "-r" "--rand" "-b" "4k" "-s" "64g" "-N" "16" "-t" "16" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_03_max_io_read.csv" 
2026-09-02T16:17:50.878-0400,,dir,1,4,16,1,16,68719476736,4096,1,1,1,8,1,0,MKDIRS,5,64,3759,995,,,,,2,0,22,64,,,1469,7423,15607,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153 192.168.103.154" "/mnt/fg_test/testdir/" "-d" "-w" "--rand" "-b" "4k" "-s" "64g" "-N" "16" "-t" "16" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_03_max_io_read.csv" 
2026-09-02T16:17:50.954-0400,,dir,1,4,16,1,16,68719476736,4096,1,1,1,8,1,0,WRITE,15446266,15807873,0,0,1101612,1086791,4303,4245,77,77,961,1024,66467959,67108864,842212001,973837116,1385425023,132,463,1327019,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153 192.168.103.154" "/mnt/fg_test/testdir/" "-d" "-w" "--rand" "-b" "4k" "-s" "64g" "-N" "16" "-t" "16" "--iodepth" "8" "--direct" "--nolive" "--latpercent" "--csvfile" "results_03_max_io_read.csv" 
2026-09-03T02:15:17.958-0400,,dir,1,4,16,1,8,68719476736,131072,1,1,1,16,1,0,MKDIRS,1,27,28411,2362,,,,,7,0,56,64,,,587,2908,4169,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153 192.168.103.154" "/mnt/fg_test/testdir/" "-d" "-w" "--rand" "-b" "128k" "-s" "64g" "-N" "8" "-t" "16" "--iodepth" "16" "--direct" "--nolive" "--latpercent" "--csvfile" "results_03_max_io_read.csv" 
2026-09-03T02:15:18.009-0400,,dir,1,4,16,1,8,68719476736,131072,1,1,1,16,1,0,WRITE,802230,891631,0,0,303276,301060,37909,37632,6,6,441,512,30412173,33554432,64864155,109139575,135753857,311,3327,2392692,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153 192.168.103.154" "/mnt/fg_test/testdir/" "-d" "-w" "--rand" "-b" "128k" "-s" "64g" "-N" "8" "-t" "16" "--iodepth" "16" "--direct" "--nolive" "--latpercent" "--csvfile" "results_03_max_io_read.csv" 
2026-09-03T02:42:33.291-0400,,dir,1,4,16,1,8,68719476736,131072,1,1,1,16,1,0,MKDIRS,1,8,43775,7729,,,,,5,2,64,64,,,324,1279,1948,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153 192.168.103.154" "/mnt/fg_test/testdir/" "-d" "-r" "--rand" "-b" "128k" "-s" "64g" "-N" "8" "-t" "16" "--iodepth" "16" "--direct" "--nolive" "--latpercent" "--csvfile" "results_03_max_io_read.csv" 
2026-09-03T02:42:33.322-0400,,dir,1,4,16,1,8,68719476736,131072,1,1,1,16,1,0,READ,366125,445345,1,1,637356,602757,79669,75344,13,13,406,512,29169072,33554432,24045113,51346955,83542066,114,1564,5867674,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153 192.168.103.154" "/mnt/fg_test/testdir/" "-d" "-r" "--rand" "-b" "128k" "-s" "64g" "-N" "8" "-t" "16" "--iodepth" "16" "--direct" "--nolive" "--latpercent" "--csvfile" "results_03_max_io_read.csv" 
2026-09-03T02:55:15.891-0400,,dir,1,4,16,1,8,68719476736,262144,1,1,1,16,1,0,MKDIRS,6,43,5312,1459,,,,,2,0,34,64,,,1451,7544,16546,,,,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153 192.168.103.154" "/mnt/fg_test/testdir/" "-d" "-w" "--rand" "-b" "256k" "-s" "64g" "-N" "8" "-t" "16" "--iodepth" "16" "--direct" "--nolive" "--latpercent" "--csvfile" "results_03_max_io_read.csv" 
2026-09-03T02:55:15.942-0400,,dir,1,4,16,1,8,68719476736,262144,1,1,1,16,1,0,WRITE,464031,464036,0,0,105591,105666,26397,26416,3,3,158,158,12249491,12258238,39850232,161170145,276145045,504,9682,2992693,,,,,,,,,,,,,,,,,3.1-12,"elbencho" "--hosts" "192.168.103.151 192.168.103.152 192.168.103.153 192.168.103.154" "/mnt/fg_test/testdir/" "-d" "-w" "--rand" "-b" "256k" "-s" "64g" "-N" "8" "-t" "16" "--iodepth" "16" "--direct" "--nolive" "--latpercent" "--csvfile" "results_03_max_io_read.csv" 
