ts,node,bytes_read,bytes_written,bytes_in,bytes_out,ff_in,ff_out,queued_count,queued_bytes,ffrepo_used,content_used,prov_used,heap_used,gc_ms
1788781528,nifi-0,0,135828340736,0,0,0,0,0,0,524288,16094330880,3145728,459351368,1082
1788781530,nifi-1,0,138445586432,0,0,0,0,0,0,524288,25567952896,3145728,867534704,1393
1788781541,nifi-0,0,136163885056,0,0,0,0,0,0,524288,11251220480,3407872,886387520,1122
1788781543,nifi-1,0,137841606656,0,0,0,0,0,0,524288,20474232832,3407872,868833752,1444
1788781553,nifi-0,0,136365211648,0,0,0,0,2,134217728,524288,10428350464,3407872,670540112,1157
1788781554,nifi-1,0,138042933248,0,0,0,0,0,0,524288,12741246976,3407872,586043824,1489
1788781565,nifi-0,0,144485384192,0,0,0,0,0,0,524288,13634109440,3670016,541370152,1192
1788781566,nifi-1,0,147505283072,0,0,0,0,0,0,524288,22666805248,4194304,660193576,1534
1788781577,nifi-0,0,153813516288,0,0,0,0,0,0,524288,23042195456,3670016,464047208,1230
1788781578,nifi-1,0,156766306304,0,0,0,0,0,0,524288,16009396224,3932160,589055232,1579
1788781589,nifi-0,0,163477192704,0,0,0,0,0,0,524288,17017864192,3670016,965432656,1268
1788781590,nifi-1,0,166362873856,0,0,0,0,0,0,524288,25360334848,3932160,868110960,1617
1788781601,nifi-0,0,173342195712,0,0,0,0,0,0,524288,10244063232,3932160,605498096,1307
1788781602,nifi-1,0,176362094592,0,0,0,0,0,0,524288,19342557184,3932160,937849880,1659
1788781613,nifi-0,0,182871654400,0,0,0,0,0,0,524288,19950469120,4194304,676888328,1349
1788781614,nifi-1,0,185488900096,0,0,0,0,0,0,524288,12523929600,4194304,728604184,1701
1788781625,nifi-0,0,191730024448,0,0,0,0,0,0,524288,13551009792,4194304,534833216,1384
1788781626,nifi-1,0,194414379008,0,0,0,0,0,0,524288,6189219840,4456448,586521920,1743
1788781637,nifi-0,0,201460809728,0,0,0,0,0,0,524288,7860387840,4194304,891501160,1423
1788781639,nifi-1,0,203406966784,0,0,0,0,0,0,262144,14846787584,4456448,729486768,1782
1788781650,nifi-0,0,211325812736,0,0,0,0,0,0,786432,17262968832,4718592,678032296,1466
1788781652,nifi-1,0,213741731840,0,0,0,0,0,0,524288,10153361408,4980736,1010674080,1826
1788781663,nifi-0,0,220922380288,0,0,0,0,0,0,524288,10873995264,4980736,888217512,1504
1788781664,nifi-1,0,223405408256,0,0,0,0,0,0,524288,19947323392,4980736,732263520,1868
1788781674,nifi-0,0,229982076928,0,0,0,0,0,0,524288,7283671040,5242880,540484760,1542
1788781675,nifi-1,0,232196669440,0,0,0,0,0,0,524288,13501726720,5242880,732410088,1910
1788781687,nifi-0,0,233538846720,0,0,0,0,0,0,524288,14712832000,5242880,675235176,1581
1788781688,nifi-1,0,235417894912,0,0,0,0,0,0,262144,22936551424,5767168,1012076280,1954
1788781699,nifi-0,0,233605955584,0,0,0,0,0,0,524288,8021344256,5242880,817934640,1614
1788781701,nifi-1,0,235082350592,0,0,0,0,0,0,524288,16867131392,5242880,873815312,1991
1788781712,nifi-0,0,232867758080,0,0,0,0,0,0,524288,17617649664,5505024,751045704,1651
1788781713,nifi-1,0,234679697408,0,0,0,0,1,67108864,524288,11177820160,5505024,876176104,2043
1788781724,nifi-0,0,233001975808,0,0,0,0,0,0,524288,13093830656,5767168,607124944,1696
1788781725,nifi-1,0,234881024000,0,0,0,0,0,0,524288,20896284672,5767168,734288312,2096
1788781736,nifi-0,0,233203302400,0,0,0,0,0,0,524288,6241648640,5767168,959535032,1733
1788781737,nifi-1,0,235149459456,0,0,0,0,0,0,524288,15458631680,5767168,508039920,2149
1788781748,nifi-0,0,233874391040,0,0,0,0,0,0,524288,15502934016,6029312,748220824,1770
1788781749,nifi-1,0,235887656960,0,0,0,0,0,0,524288,24746131456,6029312,596837112,2193
1788781760,nifi-0,0,233404628992,0,0,0,0,0,0,786432,8752988160,6291456,614416872,1807
1788781761,nifi-1,0,235417894912,0,0,0,0,0,0,524288,18243649536,6291456,521539936,2238
1788781772,nifi-0,0,232062451712,0,0,0,0,0,0,524288,17332436992,6291456,822361512,1845
1788781773,nifi-1,0,235485003776,0,0,0,0,0,0,524288,11568676864,6553600,591273120,2280
1788781784,nifi-0,0,231861125120,0,0,0,0,0,0,524288,12358516736,2097152,761862488,1886
1788781785,nifi-1,0,235887656960,0,0,0,0,0,0,524288,20097531904,6553600,945787824,2323
1788781796,nifi-0,0,232062451712,0,0,0,0,0,0,524288,21599617024,2359296,456096312,1926
1788781797,nifi-1,0,236021874688,0,0,0,0,0,0,524288,15716319232,2359296,875006592,2369
1788781809,nifi-0,0,232599322624,0,0,0,0,0,0,524288,15869935616,2359296,542577984,1962
1788781810,nifi-1,0,237229834240,0,0,0,0,0,0,524288,9794748416,2621440,877652944,2415
1788781821,nifi-0,0,232062451712,0,0,0,0,0,0,786432,18409062400,2621440,892885208,2019
1788781822,nifi-1,0,237632487424,0,0,0,0,0,0,786432,19340984320,2621440,875971200,2459
1788781833,nifi-0,0,232867758080,0,0,0,0,0,0,524288,20286013440,2883584,612478208,2059
1788781834,nifi-1,0,237162725376,0,0,0,0,0,0,524288,12996837376,2621440,524047192,2511
1788781845,nifi-0,0,232800649216,0,0,0,0,0,0,524288,13515882496,3145728,822519256,2097
1788781846,nifi-1,0,237296943104,0,0,0,0,0,0,524288,19511902208,2621440,736190232,2553
1788781857,nifi-0,0,232733540352,0,0,0,0,0,0,786432,7081558016,3145728,544011232,2139
1788781858,nifi-1,0,236894289920,0,0,0,0,0,0,524288,16153051136,2883584,878974032,2596
1788781868,nifi-0,0,232397996032,0,0,0,0,1,67108864,524288,16161439744,2883584,751967536,2179
1788781869,nifi-1,0,236156092416,0,0,0,0,0,0,786432,9894363136,3145728,808406792,2635
1788781880,nifi-0,0,231928233984,0,0,0,0,0,0,524288,10013638656,3145728,469159920,2220
1788781881,nifi-1,0,236424527872,0,0,0,0,0,0,786432,19163512832,3145728,596783760,2681
1788781892,nifi-0,0,231995342848,0,0,0,0,0,0,524288,19734724608,3670016,821903840,2259
1788781893,nifi-1,0,237162725376,0,0,0,0,0,0,524288,13785104384,3407872,524006752,2725
1788781904,nifi-0,0,231794016256,0,0,0,0,0,0,524288,13555728384,3670016,832843056,2299
1788781905,nifi-1,0,236894289920,0,0,0,0,0,0,524288,16456613888,3670016,807413288,2768
1788781916,nifi-0,0,232263778304,0,0,0,0,1,67108864,786432,17761304576,3932160,893829984,2338
1788781918,nifi-1,0,237632487424,0,0,0,0,0,0,524288,15780806656,3932160,669225008,2819
1788781928,nifi-0,0,232465104896,0,0,0,0,0,0,786432,16945250304,5242880,967761640,2373
1788781930,nifi-1,0,238437793792,0,0,0,0,0,0,786432,9124184064,3670016,669992224,2865
1788781940,nifi-0,0,231995342848,0,0,0,0,1,67108864,524288,10768351232,5242880,544544016,2411
1788781942,nifi-1,0,238974664704,0,0,0,0,0,0,524288,17974427648,3932160,521297832,2911
1788781953,nifi-0,0,231525580800,0,0,0,0,0,0,524288,20664811520,5767168,477785296,2452
1788781954,nifi-1,0,240182624256,0,0,0,0,0,0,524288,12347244544,4194304,527935488,2966
1788781965,nifi-0,0,233069084672,0,0,0,0,0,0,524288,14689501184,4718592,897486688,2490
1788781966,nifi-1,0,240249733120,0,0,0,0,0,0,524288,21723348992,4456448,813435664,3011
1788781977,nifi-0,0,233538846720,0,0,0,0,0,0,524288,7721975808,4194304,1038520976,2526
1788781978,nifi-1,0,240920821760,0,0,0,0,0,0,786432,15103688704,4456448,604181392,3053
1788781989,nifi-0,0,233471737856,0,0,0,0,0,0,786432,17424449536,4456448,546251096,2564
1788781990,nifi-1,0,241122148352,0,0,0,0,1,67108864,262144,8760066048,4456448,883588360,3098
1788782001,nifi-0,0,234612588544,0,0,0,0,0,0,524288,11960320000,4718592,479488312,2604
1788782002,nifi-1,0,242330107904,0,0,0,0,0,0,524288,18789957632,4718592,814569144,3141
