ts,node,bytes_read,bytes_written,bytes_in,bytes_out,ff_in,ff_out,queued_count,queued_bytes,ffrepo_used,content_used,prov_used,heap_used,gc_ms
1788781529,nifi-0,0,26844364800,0,0,0,0,803,3289088,312737792,358350848,1987575808,253653512,1581
1788781531,nifi-1,0,25581977600,0,0,0,0,1515,6205440,254803968,1979187200,1835008000,305606184,1655
1788781543,nifi-0,0,27024588800,0,0,0,0,2013,8245248,217055232,304349184,2343305216,379126456,1658
1788781544,nifi-1,0,25790873600,0,0,0,0,1201,4919296,54263808,660602880,2284322816,1054467200,1798
1788781556,nifi-0,0,26778009600,0,0,0,0,1800,7372800,90963968,186384384,2418016256,2412062432,1691
1788781558,nifi-1,0,25536921600,0,0,0,0,1762,7217152,195559424,206045184,2170028032,2686268992,1840
1788781570,nifi-0,0,27971584000,0,0,0,0,0,0,287834112,139722752,2405433344,1818872872,1784
1788781572,nifi-1,0,26654310400,0,0,0,0,2864,11730944,159383552,2112880640,2392850432,948505728,1892
1788781583,nifi-0,0,30058905600,0,0,0,0,800,3276800,210239488,228065280,2497445888,1230019704,1826
1788781585,nifi-1,0,28562227200,0,0,0,0,1219,4993024,290455552,1106771968,2410151936,1026468864,1933
1788781597,nifi-0,0,32183091200,0,0,0,0,650,2662400,88866816,456130560,2578448384,829892640,1863
1788781598,nifi-1,0,30473420800,0,0,0,0,1043,4272128,232783872,719847424,2435317760,1071782904,1977
1788781610,nifi-0,0,34226176000,0,0,0,0,2111,8646656,258998272,180092928,3199467520,2309696080,1946
1788781612,nifi-1,0,32501760000,0,0,0,0,854,3497984,145489920,815267840,3006529536,2246832656,2020
1788781623,nifi-0,0,36083302400,0,0,0,0,2530,10362880,174063616,312475648,2803105792,2390043544,1985
1788781625,nifi-1,0,34427699200,0,0,0,0,1000,4096000,74973184,493617152,2648965120,2491231312,2068
1788781636,nifi-0,0,38152601600,0,0,0,0,1105,4526080,256638976,919863296,3062104064,1361276992,2029
1788781638,nifi-1,0,36230758400,0,0,0,0,1000,4096000,275513344,2224291840,2810707968,1675905744,2115
1788781649,nifi-0,0,40126873600,0,0,0,0,2000,8192000,265551872,322437120,3377463296,2010540488,2066
1788781651,nifi-1,0,38036275200,0,0,0,0,1000,4096000,124780544,328204288,3064725504,1079864592,2202
1788781663,nifi-0,0,42192076800,0,0,0,0,2211,9056256,166985728,240648192,3287547904,1214437072,2108
1788781665,nifi-1,0,39800012800,0,0,0,0,2600,10649600,267911168,1455685632,3646685184,2495036768,2244
1788781676,nifi-0,0,44158976000,0,0,0,0,1557,6377472,71041024,376963072,3964665856,2063608128,2144
1788781678,nifi-1,0,41721036800,0,0,0,0,692,2834432,200540160,3178496000,3402366976,317111216,2341
1788781690,nifi-0,0,45318144000,0,0,0,0,1000,4096000,215220224,350748672,3879469056,2071767808,2240
1788781692,nifi-1,0,42993254400,0,0,0,0,1251,5124096,157286400,2304245760,3579052032,1638237584,2430
1788781704,nifi-0,0,45345177600,0,0,0,0,800,3276800,210501632,349700096,4024958976,917399928,2286
1788781706,nifi-1,0,43230822400,0,0,0,0,1200,4915200,69992448,420216832,3911712768,2155772592,2501
1788781717,nifi-0,0,45100236800,0,0,0,0,1418,5808128,304611328,195821568,3679715328,2519292504,2323
1788781719,nifi-1,0,42942464000,0,0,0,0,1360,5570560,229638144,1255669760,3647209472,1724030136,2547
1788781730,nifi-0,0,44852838400,0,0,0,0,1400,5734400,222560256,201588736,4347133952,2122118888,2366
1788781732,nifi-1,0,43057152000,0,0,0,0,600,2457600,153616384,541327360,4222353408,1699428944,2588
1788781744,nifi-0,0,44823347200,0,0,0,0,696,2850816,240386048,331612160,4023910400,1951078320,2432
1788781746,nifi-1,0,43147264000,0,0,0,0,1363,5582848,301989888,2410938368,3813408768,2479241064,2644
1788781757,nifi-0,0,45025689600,0,0,0,0,1167,4780032,102760448,410779648,4456972288,1754121360,2491
1788781759,nifi-1,0,42930176000,0,0,0,0,1020,4177920,239861760,1643118592,4297850880,724649824,2698
1788781771,nifi-0,0,45119078400,0,0,0,0,1235,5058560,292814848,141557760,4751360000,1853761384,2530
1788781773,nifi-1,0,42906419200,0,0,0,0,800,3276800,150208512,558628864,4335337472,759184984,2745
1788781785,nifi-0,0,45211648000,0,0,0,0,800,3276800,230948864,235929600,4447535104,1489983408,2571
1788781787,nifi-1,0,42552524800,0,0,0,0,2368,9699328,298057728,2354839552,4403494912,1332129856,2793
1788781799,nifi-0,0,45148569600,0,0,0,0,800,3276800,274726912,329777152,5003018240,1050917760,2638
1788781800,nifi-1,0,42677862400,0,0,0,0,1351,5533696,284688384,1325662208,4725669888,2250098928,2876
1788781812,nifi-0,0,45065830400,0,0,0,0,1260,5160960,277872640,335020032,4817158144,2466688808,2671
1788781814,nifi-1,0,42364928000,0,0,0,0,902,3694592,197132288,3008102400,4664590336,1564504200,2935
1788781825,nifi-0,0,45164134400,0,0,0,0,1602,6561792,213385216,392167424,5153226752,1604725848,2715
1788781826,nifi-1,0,42648371200,0,0,0,0,600,2457600,297533440,1981546496,4774428672,1643947512,3022
1788781837,nifi-0,0,45056000000,0,0,0,0,800,3276800,94371840,322699264,4651745280,2027332896,2749
1788781839,nifi-1,0,42738483200,0,0,0,0,1200,4915200,271056896,1239678976,4577034240,1659453464,3064
1788781850,nifi-0,0,45028147200,0,0,0,0,1400,5734400,246415360,233308160,5079564288,1921526688,2784
1788781852,nifi-1,0,42636902400,0,0,0,0,1130,4628480,160432128,1622671360,4571004928,596433320,3111
1788781864,nifi-0,0,45345177600,0,0,0,0,985,4034560,236191744,191889408,5279842304,2145252480,2824
1788781865,nifi-1,0,42852352000,0,0,0,0,1000,4096000,291504128,1737490432,4977852416,689298712,3153
1788781877,nifi-0,0,45404160000,0,0,0,0,2800,11468800,79691776,383778816,5519966208,1108768744,2902
1788781878,nifi-1,0,42827776000,0,0,0,0,1511,6189056,212598784,3363307520,5166333952,601712096,3197
1788781890,nifi-0,0,45473792000,0,0,0,0,565,2314240,287047680,514064384,5313396736,1009683552,2950
1788781892,nifi-1,0,42820403200,0,0,0,0,1493,6115328,147587072,1956904960,5063835648,970251512,3281
1788781903,nifi-0,0,45292748800,0,0,0,0,2000,8192000,197918720,253231104,5728894976,2528560536,2984
1788781905,nifi-1,0,42826137600,0,0,0,0,800,3276800,69206016,694681600,5515771904,1369201640,3323
1788781917,nifi-0,0,45517209600,0,0,0,0,1550,6348800,265027584,275775488,6142296064,1660069896,3025
1788781919,nifi-1,0,42545152000,0,0,0,0,2062,8445952,186122240,286523392,5746196480,980323656,3401
1788781931,nifi-0,0,45583564800,0,0,0,0,1358,5562368,243531776,493355008,6163267584,2311781856,3079
1788781932,nifi-1,0,42739302400,0,0,0,0,1894,7757824,136839168,411041792,5364514816,2249143568,3439
1788781943,nifi-0,0,45298483200,0,0,0,0,2748,11255808,160169984,446955520,6325272576,1026237040,3120
1788781945,nifi-1,0,42710630400,0,0,0,0,1043,4272128,280231936,2042101760,5922357248,2052475680,3508
1788781956,nifi-0,0,45127270400,0,0,0,0,1400,5734400,298844160,332136448,6074662912,2184070912,3164
1788781958,nifi-1,0,43019468800,0,0,0,0,800,3276800,202637312,565444608,5601492992,2053821936,3572
1788781969,nifi-0,0,45375488000,0,0,0,0,2620,10731520,292290560,363069440,6017777664,1346884480,3200
1788781971,nifi-1,0,43100569600,0,0,0,0,1200,4915200,132120576,2400976896,5637406720,2695929960,3611
1788781982,nifi-0,0,45554073600,0,0,0,0,1200,4915200,171180032,385875968,6344409088,1883720296,3236
1788781984,nifi-1,0,43178393600,0,0,0,0,1195,4894720,27787264,293076992,6017253376,283644376,3663
1788781996,nifi-0,0,45655654400,0,0,0,0,1316,5390336,296747008,370671616,6369312768,230487344,3306
1788781997,nifi-1,0,43365171200,0,0,0,0,2400,9830400,231997440,1477967872,5937299456,1556161576,3744
1788782009,nifi-0,0,45680230400,0,0,0,0,1528,6258688,282066944,374079488,6737887232,1332735144,3344
1788782011,nifi-1,0,43261132800,0,0,0,0,1400,5734400,117440512,460324864,6414925824,2138806856,3807
